anchor,time,spot,mfe_60s,mae_60s,end_move_60s,mfe_300s,mae_300s,end_move_300s,mfe_600s,mae_600s,end_move_600s
MOVE_ONSET,2026-08-21 09:14:43.239,24322.9,14.75,2.4499999999970896,-5.950000000000728,31.400000000001455,2.4499999999970896,-31.05000000000291,51.35000000000218,2.4499999999970896,-44.45000000000073
SHORT_CLEARANCE,2026-08-21 09:14:54.489,24321.75,17.150000000001455,2.0,-12.099999999998545,34.150000000001455,2.0,-33.099999999998545,50.20000000000073,2.0,-44.45000000000073
SHORT_ACCEPTANCE,2026-08-21 09:15:23.989,24309.7,9.200000000000728,9.75,-7.0,22.150000000001455,9.75,-22.150000000001455,38.150000000001455,9.75,-33.35000000000218
TARGET_REJECTION,2026-08-21 09:15:44.490,24319.45,21.0,0.0,-20.350000000002183,40.79999999999927,0.0,-38.400000000001455,47.900000000001455,0.0,-41.20000000000073
PATH_EXHAUSTION,2026-08-21 09:17:41.988,24304.55,8.849999999998545,2.2000000000007276,-8.849999999998545,33.0,2.2000000000007276,-28.200000000000728,36.54999999999927,2.2000000000007276,-29.5
SECOND_NODE_CLEARANCE,2026-08-21 09:20:26.240,24286.35,14.799999999999272,2.0500000000029104,-5.099999999998545,14.799999999999272,2.0500000000029104,-10.049999999999272,18.349999999998545,2.0500000000029104,-8.849999999998545
SECOND_NODE_ACCEPTANCE,2026-08-21 09:20:40.341,24281.75,10.200000000000728,1.9500000000007276,-3.650000000001455,10.200000000000728,1.9500000000007276,-7.099999999998545,13.75,3.7000000000007276,-8.75
