path_id,side,path_start_ts,path_end_ts,path_duration_s,node_count,node_ids,target_sequence,nodes_cleared,nodes_accepted,node_exhaustions,first_node_exhaustion_ts,last_node_acceptance_ts,initial_spot,path_exhaustion_label,path_continues,path_resolution,forward_mfe_600s,forward_mae_600s,time_to_10,time_to_20,time_to_30,time_to_40,time_to_50,path_start_ts_IST,path_end_ts_IST,first_node_exhaustion_ts_IST,last_node_acceptance_ts_IST,independence_rule
LONG_P1,LONG,1787209200.36,1787211299.625,2099.265000104904,4,LONG_1|LONG_2|LONG_3|LONG_4,24295.0|24320.0|24330.0|24345.0,4,4,3,1787210250.714,1787210464.87,24284.1,False,False,RECORDING_END,14.100000000002183,-5.099999999998545,584.2530000209808,,,,,2026-08-20 12:30:00.359,2026-08-20 13:04:59.625,2026-08-20 12:47:30.713,2026-08-20 12:51:04.869,same-side path starts separated by >=600s
SHORT_P2,SHORT,1787209200.36,1787209725.114,524.7540001869202,1,SHORT_1,24270.0,1,0,0,,,24284.1,False,False,DIRECTIONAL_PATH_ENDED,5.099999999998545,-14.100000000002183,,,,,,2026-08-20 12:30:00.359,2026-08-20 12:38:45.114,,,same-side path starts separated by >=600s
SHORT_P4,SHORT,1787210260.221,1787210261.144,0.9230000972747803,2,SHORT_3|SHORT_4,24305.0|24290.0,0,0,0,,,24317.85,False,False,DIRECTIONAL_PATH_ENDED,5.299999999999272,-37.400000000001455,,,,,,2026-08-20 12:47:40.220,2026-08-20 12:47:41.144,,,same-side path starts separated by >=600s
